,Date,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,EV_Charging_Stations_Nearby,Govt_Subsidy_Applied,Dealer_Network_Size,Service_Type,Warranty_Years,Export_Units
0,2023-01-01,Tata Motors,Tiago,Hatchback,North,558101.67,15.0,202.0,6111213.29,204.0,,11.0,29956.928,0.01,Winter,1,1,Sunday,1,0,0,1.08,10.0,0.0,,,,
1,2023-01-01,Tata Motors,Tiago,Hatchback,South,542484.81,13.0,189.0,5148180.85,174.0,18.0,12.0,29587.246,0.01,Winter,1,1,Sunday,1,0,0,1.08,5.0,0.0,,,,
2,2023-01-01,Tata Motors,Tiago,Hatchback,East,529825.46,6.0,219.0,2320635.51,218.5,54.0,15.0,10620.757,0.03,Winter,1,1,Sunday,1,0,1,1.08,8.0,0.0,,,,
3,2023-01-01,Tata Motors,Tiago,Hatchback,West,543497.69,14.0,107.0,5554546.39,159.0,25.0,7.0,34934.254,0.01,Winter,1,1,Sunday,1,0,0,1.08,0.0,0.0,,,,
4,2023-01-01,Tata Motors,Tiago,Hatchback,Central,539737.82,15.0,205.0,5910129.13,173.0,22.0,10.0,34162.596,0.01,Winter,1,1,Sunday,1,0,1,1.08,5.0,0.0,,,,
5,2023-01-01,Tata Motors,Tigor,Sedan,North,699155.94,9.0,190.0,4593454.53,167.5,35.0,8.0,27423.609,0.01,Winter,1,1,Sunday,1,0,0,1.0,5.0,0.0,,,,
6,2023-01-01,Tata Motors,Tigor,Sedan,South,671969.16,10.0,159.0,4905374.87,181.0,37.0,12.0,27101.519,0.01,Winter,1,1,Sunday,1,0,0,1.0,17.0,0.0,,,,
7,2023-01-01,Tata Motors,Tigor,Sedan,East,699077.82,12.0,210.0,6123921.7,205.5,18.0,14.0,29800.106,0.01,Winter,1,1,Sunday,1,0,0,1.0,2.0,0.0,,,,
8,2023-01-01,Tata Motors,Tigor,Sedan,West,710320.85,,181.0,5185342.21,122.5,32.0,14.0,42329.324,0.01,Winter,1,1,Sunday,1,0,0,1.0,11.0,0.0,,,,
9,2023-01-01,Tata Motors,Tigor,Sedan,Central,672271.25,9.0,182.0,4416822.11,112.5,36.0,5.0,39260.641,0.01,Winter,1,1,Sunday,1,0,1,1.0,11.0,0.0,,,,
10,2023-01-01,Tata Motors,Nexon,Compact SUV,North,924948.35,12.0,,8102547.55,155.0,53.0,15.0,52274.5,0.01,Winter,1,1,Sunday,1,0,1,1.0,16.0,0.0,,,,
11,2023-01-01,Tata Motors,Nexon,Compact SUV,South,884338.08,6.0,199.0,3873400.79,122.0,47.0,15.0,31749.187,0.01,Winter,1,1,Sunday,1,0,0,1.0,13.0,0.0,,,,
12,2023-01-01,Tata Motors,Nexon,Compact SUV,East,880888.04,14.0,98.0,9002675.77,121.5,23.0,6.0,74096.097,0.0,Winter,1,1,Sunday,1,0,0,1.0,15.0,0.0,,,,
13,2023-01-01,Tata Motors,Nexon,Compact SUV,West,892843.64,3.0,,1955327.57,104.0,27.0,14.0,18801.227,0.02,Winter,1,1,Sunday,1,0,1,1.0,13.0,0.0,,,,
14,2023-01-01,Tata Motors,Nexon,Compact SUV,Central,897310.96,16.0,47.0,10480592.01,137.0,31.0,13.0,76500.672,0.0,Winter,1,1,Sunday,1,0,0,1.0,10.0,0.0,,,,
15,2023-01-01,Tata Motors,Harrier,SUV,North,1600747.56,12.0,54.0,14022548.63,63.0,38.0,5.0,222580.137,0.0,Winter,1,1,Sunday,1,0,1,1.0,18.0,0.0,,,,
16,2023-01-01,Tata Motors,Harrier,SUV,South,1474399.21,8.0,94.0,8610491.39,165.5,27.0,14.0,52027.138,0.01,Winter,1,1,Sunday,1,0,0,1.0,0.0,0.0,,,,
17,2023-01-01,Tata Motors,Harrier,SUV,East,1598336.68,5.0,164.0,5833928.88,149.0,42.0,15.0,39153.885,0.01,Winter,1,1,Sunday,1,0,0,1.0,18.0,0.0,,,,
18,2023-01-01,Tata Motors,Harrier,SUV,West,1525951.17,12.0,264.0,13367332.25,251.0,40.0,9.0,53256.304,0.01,Winter,1,1,Sunday,1,0,0,1.0,7.0,0.0,,,,
19,2023-01-01,Tata Motors,Harrier,SUV,Central,1490087.7,9.0,253.0,9789876.19,209.5,45.0,14.0,46729.719,0.01,Winter,1,1,Sunday,1,0,1,1.0,6.0,0.0,,,,
20,2023-01-01,Tata Motors,Safari,MPV,North,1692861.27,7.0,76.0,8650521.09,97.0,28.0,6.0,89180.63,0.0,Winter,1,1,Sunday,1,0,1,1.0,16.0,0.0,,,,
21,2023-01-01,Tata Motors,Safari,MPV,South,1724732.72,11.0,135.0,13849603.74,91.0,42.0,12.0,152193.448,0.0,Winter,1,1,Sunday,1,0,0,1.0,6.0,0.0,,,,
22,2023-01-01,Tata Motors,Safari,MPV,East,1632052.85,11.0,192.0,13105384.39,152.5,45.0,14.0,85936.947,0.0,Winter,1,1,Sunday,1,0,1,1.0,12.0,0.0,,,,
23,2023-01-01,Tata Motors,Safari,MPV,West,1684885.92,9.0,268.0,11069700.49,186.5,18.0,14.0,59354.962,0.01,Winter,1,1,Sunday,1,0,1,1.0,10.0,0.0,,,,
24,2023-01-01,Tata Motors,Safari,MPV,Central,1626452.81,4.0,50.0,4749242.21,102.5,25.0,13.0,46334.07,0.01,Winter,1,1,Sunday,1,0,1,1.0,2.0,0.0,,,,
25,2023-01-01,Tata Motors,Nexon EV,Electric SUV,North,1438208.56,6.0,248.0,6299353.49,186.0,38.0,13.0,33867.492,0.01,Winter,1,1,Sunday,1,0,0,1.0,17.0,1.0,,,,
26,2023-01-01,Tata Motors,Nexon EV,Electric SUV,South,1482934.77,7.0,147.0,7577796.67,176.5,40.0,12.0,42933.692,0.01,Winter,1,1,Sunday,1,0,0,1.0,5.0,1.0,,,,
27,2023-01-01,Tata Motors,Nexon EV,Electric SUV,East,1547295.0,3.0,164.0,3388576.05,134.5,34.0,,25193.874,0.01,Winter,1,1,Sunday,1,0,0,1.0,9.0,0.0,,,,
28,2023-01-01,Tata Motors,Nexon EV,Electric SUV,West,1543039.8,8.0,45.0,9011352.43,106.5,22.0,10.0,84613.638,0.0,Winter,1,1,Sunday,1,0,0,1.0,14.0,1.0,,,,
29,2023-01-01,Tata Motors,Nexon EV,Electric SUV,Central,1465455.14,10.0,225.0,,202.5,47.0,7.0,52828.753,0.01,Winter,1,1,Sunday,1,0,1,1.0,0.0,1.0,,,,
30,2023-01-02,Tata Motors,Tiago,Hatchback,North,574508.41,19.0,185.0,7968431.65,202.5,39.0,8.0,39350.28,0.01,Winter,1,1,Monday,0,0,0,1.08,0.0,0.0,,,,
31,2023-01-02,Tata Motors,Tiago,Hatchback,South,557197.14,15.0,85.0,6101308.68,135.0,29.0,5.0,45194.879,0.01,Winter,1,1,Monday,0,0,1,1.08,9.0,0.0,,,,
32,2023-01-02,Tata Motors,Tiago,Hatchback,East,549456.53,19.0,152.0,7620962.07,117.5,50.0,,64859.252,0.01,Winter,1,1,Monday,0,0,0,1.08,17.0,0.0,,,,
33,2023-01-02,Tata Motors,Tiago,Hatchback,West,555514.3,12.0,238.0,4866305.27,202.0,22.0,10.0,24090.62,0.02,Winter,1,1,Monday,0,0,1,1.08,11.0,0.0,,,,
34,2023-01-02,Tata Motors,Tiago,Hatchback,Central,563887.67,10.0,81.0,4116379.99,151.0,45.0,7.0,27260.795,0.01,Winter,1,1,Monday,0,0,0,1.08,14.0,0.0,,,,
35,2023-01-02,Tata Motors,Tigor,Sedan,North,710027.49,12.0,248.0,6219840.81,226.5,21.0,6.0,27460.666,0.01,Winter,1,1,Monday,0,0,0,1.0,18.0,0.0,,,,
36,2023-01-02,Tata Motors,Tigor,Sedan,South,704540.05,8.0,85.0,4114513.89,121.5,44.0,12.0,33864.312,0.01,Winter,1,1,Monday,0,0,0,1.0,12.0,0.0,,,,
37,2023-01-02,Tata Motors,Tigor,Sedan,East,724405.2,7.0,95.0,3701710.57,118.5,48.0,15.0,31238.064,0.01,Winter,1,1,Monday,0,0,0,1.0,0.0,0.0,,,,
38,2023-01-02,Tata Motors,Tigor,Sedan,West,666681.69,11.0,279.0,5353453.97,196.5,39.0,9.0,27244.041,0.01,Winter,1,1,Monday,0,0,0,1.0,14.0,0.0,,,,
39,2023-01-02,Tata Motors,Tigor,Sedan,Central,697128.61,6.0,269.0,3053423.31,156.5,54.0,,19510.692,0.02,Winter,1,1,Monday,0,0,1,1.0,0.0,0.0,,,,
40,2023-01-02,Tata Motors,Nexon,Compact SUV,North,907019.43,18.0,135.0,11918235.31,95.5,56.0,11.0,124798.275,0.0,Winter,1,1,Monday,0,0,1,1.0,9.0,0.0,,,,
41,2023-01-02,Tata Motors,Nexon,Compact SUV,South,941430.98,26.0,246.0,17868360.0,147.0,33.0,11.0,121553.469,0.0,Winter,1,1,Monday,0,0,0,1.0,1.0,0.0,,,,
42,2023-01-02,Tata Motors,Nexon,Compact SUV,East,866037.43,16.0,148.0,10115317.18,156.0,28.0,8.0,64841.777,0.01,Winter,1,1,Monday,0,0,0,1.0,14.0,0.0,,,,
43,2023-01-02,Tata Motors,Nexon,Compact SUV,West,878910.74,9.0,164.0,5774443.56,175.5,51.0,9.0,32902.812,0.01,Winter,1,1,Monday,0,0,0,1.0,10.0,0.0,,,,
44,2023-01-02,Tata Motors,Nexon,Compact SUV,Central,856319.68,22.0,242.0,13752494.06,215.0,54.0,5.0,63965.089,0.01,Winter,1,1,Monday,0,0,0,1.0,12.0,0.0,,,,
45,2023-01-02,Tata Motors,Harrier,SUV,North,1535171.89,13.0,116.0,14568781.24,180.5,27.0,10.0,80713.469,0.0,Winter,1,1,Monday,0,0,0,1.0,15.0,0.0,,,,
46,2023-01-02,Tata Motors,Harrier,SUV,South,1493073.46,7.0,160.0,7629605.38,182.0,32.0,15.0,41920.909,0.01,Winter,1,1,Monday,0,0,0,1.0,16.0,0.0,,,,
47,2023-01-02,Tata Motors,Harrier,SUV,East,1502377.35,9.0,137.0,9870619.19,152.5,57.0,5.0,64725.372,0.01,Winter,1,1,Monday,0,0,0,1.0,9.0,0.0,,,,
48,2023-01-02,Tata Motors,Harrier,SUV,West,1478344.45,16.0,165.0,17267063.18,147.0,28.0,8.0,117463.015,0.0,Winter,1,1,Monday,0,0,0,1.0,8.0,0.0,,,,
49,2023-01-02,Tata Motors,Harrier,SUV,Central,1545290.18,13.0,,14664803.81,80.0,,12.0,183310.048,0.0,Winter,1,1,Monday,0,0,1,1.0,19.0,0.0,,,,
50,2023-01-02,Tata Motors,Safari,MPV,North,1638658.19,8.0,101.0,9569763.83,76.5,40.0,13.0,125094.952,0.0,Winter,1,1,Monday,0,0,1,1.0,12.0,0.0,,,,
51,2023-01-02,Tata Motors,Safari,MPV,South,1666530.28,9.0,85.0,10949103.94,99.5,21.0,13.0,110041.246,0.0,Winter,1,1,Monday,0,0,1,1.0,3.0,0.0,,,,
52,2023-01-02,Tata Motors,Safari,MPV,East,1693195.18,11.0,190.0,13596357.3,128.5,48.0,10.0,105808.228,0.0,Winter,1,1,Monday,0,0,0,1.0,4.0,0.0,,,,
53,2023-01-02,Tata Motors,Safari,MPV,West,1663453.06,5.0,172.0,6071603.67,115.5,32.0,13.0,52567.997,0.01,Winter,1,1,Monday,0,0,0,1.0,12.0,0.0,,,,
54,2023-01-02,Tata Motors,Safari,MPV,Central,1575398.09,5.0,183.0,5750203.03,114.0,21.0,15.0,50440.377,0.01,Winter,1,1,Monday,0,0,0,1.0,3.0,0.0,,,,
55,2023-01-02,Tata Motors,Nexon EV,Electric SUV,North,1486659.87,10.0,84.0,10852617.05,99.5,39.0,11.0,109071.528,0.0,Winter,1,1,Monday,0,0,0,1.0,18.0,0.0,,,,
56,2023-01-02,Tata Motors,Nexon EV,Electric SUV,South,1430983.26,7.0,142.0,7312324.46,104.5,55.0,10.0,69974.397,0.01,Winter,1,1,Monday,0,0,0,1.0,6.0,1.0,,,,
57,2023-01-02,Tata Motors,Nexon EV,Electric SUV,East,1507453.58,7.0,109.0,7703087.79,87.5,31.0,13.0,88035.289,0.0,Winter,1,1,Monday,0,0,0,1.0,18.0,1.0,,,,
58,2023-01-02,Tata Motors,Nexon EV,Electric SUV,West,1433501.07,14.0,223.0,14650380.94,134.0,39.0,4.0,109331.201,0.0,Winter,1,1,Monday,0,0,1,1.0,2.0,0.0,,,,
59,2023-01-02,Tata Motors,Nexon EV,Electric SUV,Central,1563864.2,11.0,129.0,12557829.53,87.0,32.0,4.0,144342.868,0.0,Winter,1,1,Monday,0,0,0,1.0,5.0,0.0,,,,
60,2023-01-03,Tata Motors,Tiago,Hatchback,North,553210.97,9.0,245.0,3634596.07,242.0,40.0,12.0,15018.992,0.02,Winter,1,1,Tuesday,0,0,0,1.08,13.0,0.0,,,,
61,2023-01-03,Tata Motors,Tiago,Hatchback,South,563359.61,9.0,93.0,3701272.64,155.5,47.0,6.0,23802.396,0.02,Winter,1,1,Tuesday,0,0,0,1.08,10.0,0.0,,,,
62,2023-01-03,Tata Motors,Tiago,Hatchback,East,573103.56,16.0,268.0,6693849.58,237.0,37.0,8.0,28244.091,0.01,Winter,1,1,Tuesday,0,0,0,1.08,16.0,0.0,,,,
63,2023-01-03,Tata Motors,Tiago,Hatchback,West,558850.54,5.0,177.0,2039804.47,200.5,47.0,7.0,10173.588,0.04,Winter,1,1,Tuesday,0,0,0,1.08,5.0,0.0,,,,
64,2023-01-03,Tata Motors,Tiago,Hatchback,Central,552492.61,13.0,175.0,5243154.87,169.0,43.0,13.0,31024.585,0.01,Winter,1,1,Tuesday,0,0,0,1.08,15.0,0.0,,,,
65,2023-01-03,Tata Motors,Tigor,Sedan,North,681958.17,7.0,243.0,3484806.25,209.0,51.0,13.0,16673.714,0.02,Winter,1,1,Tuesday,0,0,1,1.0,11.0,0.0,,,,
66,2023-01-03,Tata Motors,Tigor,Sedan,South,671469.2,7.0,234.0,3431207.61,199.5,19.0,13.0,17199.036,0.02,Winter,1,1,Tuesday,0,0,1,1.0,17.0,0.0,,,,
67,2023-01-03,Tata Motors,Tigor,Sedan,East,681380.82,9.0,180.0,4476671.99,192.5,51.0,14.0,23255.439,0.02,Winter,1,1,Tuesday,0,0,1,1.0,10.0,0.0,,,,
