,Unnamed: 0,Index,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Day
0,0,0,Tata Motors,Tiago,Hatchback,North,558101.67,15.0,202.0,6111213.29,204.0,,11.0,29956.928,0.01,Winter,1,1,Sunday,1,0,0,1.08,1
1,1,1,Tata Motors,Tiago,Hatchback,South,542484.81,13.0,189.0,5148180.85,174.0,18.0,12.0,29587.246,0.01,Winter,1,1,Sunday,1,0,0,1.08,1
2,2,2,Tata Motors,Tiago,Hatchback,East,529825.46,6.0,219.0,2320635.51,218.5,54.0,15.0,10620.757,0.03,Winter,1,1,Sunday,1,0,1,1.08,1
3,3,3,Tata Motors,Tiago,Hatchback,West,543497.69,14.0,107.0,5554546.39,159.0,25.0,7.0,34934.254,0.01,Winter,1,1,Sunday,1,0,0,1.08,1
4,4,4,Tata Motors,Tiago,Hatchback,Central,539737.82,15.0,205.0,5910129.13,173.0,22.0,10.0,34162.596,0.01,Winter,1,1,Sunday,1,0,1,1.08,1
5,5,5,Tata Motors,Tigor,Sedan,North,699155.94,9.0,190.0,4593454.53,167.5,35.0,8.0,27423.609,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
6,6,6,Tata Motors,Tigor,Sedan,South,671969.16,10.0,159.0,4905374.87,181.0,37.0,12.0,27101.519,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
7,7,7,Tata Motors,Tigor,Sedan,East,699077.82,12.0,210.0,6123921.7,205.5,18.0,14.0,29800.106,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
8,8,8,Tata Motors,Tigor,Sedan,West,710320.85,,181.0,5185342.21,122.5,32.0,14.0,42329.324,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
9,9,9,Tata Motors,Tigor,Sedan,Central,672271.25,9.0,182.0,4416822.11,112.5,36.0,5.0,39260.641,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
10,10,10,Tata Motors,Nexon,Compact SUV,North,924948.35,12.0,,8102547.55,155.0,53.0,15.0,52274.5,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
11,11,11,Tata Motors,Nexon,Compact SUV,South,884338.08,6.0,199.0,3873400.79,122.0,47.0,15.0,31749.187,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
12,12,12,Tata Motors,Nexon,Compact SUV,East,880888.04,14.0,98.0,9002675.77,121.5,23.0,6.0,74096.097,0.0,Winter,1,1,Sunday,1,0,0,1.0,1
13,13,13,Tata Motors,Nexon,Compact SUV,West,892843.64,3.0,,1955327.57,104.0,27.0,14.0,18801.227,0.02,Winter,1,1,Sunday,1,0,1,1.0,1
14,14,14,Tata Motors,Nexon,Compact SUV,Central,897310.96,16.0,47.0,10480592.01,137.0,31.0,13.0,76500.672,0.0,Winter,1,1,Sunday,1,0,0,1.0,1
15,15,15,Tata Motors,Harrier,SUV,North,1600747.56,12.0,54.0,14022548.63,63.0,38.0,5.0,222580.137,0.0,Winter,1,1,Sunday,1,0,1,1.0,1
16,16,16,Tata Motors,Harrier,SUV,South,1474399.21,8.0,94.0,8610491.39,165.5,27.0,14.0,52027.138,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
17,17,17,Tata Motors,Harrier,SUV,East,1598336.68,5.0,164.0,5833928.88,149.0,42.0,15.0,39153.885,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
18,18,18,Tata Motors,Harrier,SUV,West,1525951.17,12.0,264.0,13367332.25,251.0,40.0,9.0,53256.304,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
