Price,Units_Sold,COGS,Inventory_Turnover_Ratio,Days_Sales_Inventory,Quarter,Seasonality_Flag,Company_Hyundai India,Company_Maruti Suzuki,Car_Model_Alcazar,Car_Model_Brezza,Car_Model_Creta,Car_Model_Ertiga,Car_Model_Grand Vitara,Car_Model_Nexon,Car_Model_Safari,Car_Model_Swift,Car_Model_Tiago,Car_Model_Tigor,Car_Model_Tucson,Car_Model_Verna,Car_Model_i20,Car_Type_Compact SUV,Car_Type_Hatchback,Car_Type_MPV,Car_Type_Premium SUV,Car_Type_Sedan,Season_Festive,Season_Monsoon
558101.67,15.0,6111213.29,29956.928,0.01,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
542484.81,13.0,5148180.85,29587.246,0.01,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
529825.46,6.0,2320635.51,10620.757,0.03,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
543497.69,14.0,5554546.39,34934.254,0.01,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
539737.82,15.0,5910129.13,34162.596,0.01,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
699155.94,9.0,4593454.53,27423.609,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
671969.16,10.0,4905374.87,27101.519,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
699077.82,12.0,6123921.7,29800.106,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
710320.85,6.6,5185342.21,42329.324,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
672271.25,9.0,4416822.11,39260.641,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
924948.35,12.0,8102547.55,52274.5,0.01,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
884338.08,6.0,3873400.79,31749.187,0.01,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
880888.04,14.0,9002675.77,74096.097,0.0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
892843.64,3.0,1955327.57,18801.227,0.02,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
897310.96,16.0,10480592.01,76500.672,0.0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1600747.56,12.0,14022548.63,222580.137,0.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474399.21,8.0,8610491.39,52027.138,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598336.68,5.0,5833928.88,39153.885,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1525951.17,12.0,13367332.25,53256.304,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490087.7,9.0,9789876.19,46729.719,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692861.27,7.0,8650521.09,89180.63,0.0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1724732.72,11.0,13849603.74,152193.448,0.0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1632052.85,11.0,13105384.39,85936.947,0.0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1684885.92,9.0,11069700.49,59354.962,0.01,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1626452.81,4.0,4749242.21,46334.07,0.01,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1438208.56,6.0,6299353.49,33867.492,0.01,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
