,Price,Units_Sold,COGS,Inventory_Turnover_Ratio,Quarter,Seasonality_Flag,Company_Hyundai India,Company_Maruti Suzuki,Car_Model_Alcazar,Car_Model_Brezza,Car_Model_Creta,Car_Model_Ertiga,Car_Model_Grand Vitara,Car_Model_Nexon,Car_Model_Safari,Car_Model_Swift,Car_Model_Tiago,Car_Model_Tigor,Car_Model_Tucson,Car_Model_Verna,Car_Model_i20,Car_Type_Compact SUV,Car_Type_Hatchback,Car_Type_MPV,Car_Type_Premium SUV,Car_Type_Sedan,Season_Festive,Season_Monsoon
0,558101.67,15.0,6111213.29,-0.6334437020700674,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,542484.81,13.0,5148180.85,-0.6481457348807075,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,529825.46,6.0,2320635.51,-1.629867131293692,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,543497.69,14.0,5554546.39,-0.4449104045910681,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,539737.82,15.0,5910129.13,-0.4730750950447326,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,699155.94,9.0,4593454.53,-0.7363962944804737,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,671969.16,10.0,4905374.87,-0.7498730622959799,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,699077.82,12.0,6123921.7,-0.6396675651518898,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,710320.85,6.6,5185342.21,-0.1914949001641414,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,672271.25,9.0,4416822.11,-0.29327940710995204,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10,924948.35,12.0,8102547.55,0.11182776694331618,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,884338.08,6.0,3873400.79,-0.563609480499063,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,880888.04,14.0,9002675.77,0.6766391006797579,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,892843.64,3.0,1955327.57,-1.1353537552444048,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,897310.96,16.0,10480592.01,0.7326338972279098,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1600747.56,12.0,14022548.63,3.1159297235465684,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1474399.21,8.0,8610491.39,0.10470830770128005,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1598336.68,5.0,5833928.88,-0.2969016181414945,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1525951.17,12.0,13367332.25,0.13989561377745738,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1490087.7,9.0,9789876.19,-0.052709042827042106,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1692861.27,7.0,8650521.09,1.012327155068476,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,1724732.72,11.0,13849603.74,2.141990518895419,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,1632052.85,11.0,13105384.39,0.9430863881404805,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,1684885.92,9.0,11069700.49,0.3079066000652928,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,1626452.81,4.0,4749242.21,-0.06487047365712129,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,1438208.56,6.0,6299353.49,-0.4839430058559528,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1482934.77,7.0,7577796.67,-0.1719555664103934,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1547295.0,3.0,3388576.05,-0.8316538507204035,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1543039.8,8.0,9011352.43,0.9144059143463552,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
