,Unnamed: 0,Index,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Month,Quarter,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Day,Company_Hyundai India,Company_Maruti Suzuki,Company_Tata Motors,Car_Model_Alcazar,Car_Model_Baleno,Car_Model_Brezza,Car_Model_Creta,Car_Model_Dzire,Car_Model_Ertiga,Car_Model_Grand Vitara,Car_Model_Harrier,Car_Model_Nexon,Car_Model_Nexon EV,Car_Model_Safari,Car_Model_Swift,Car_Model_Tiago,Car_Model_Tigor,Car_Model_Tucson,Car_Model_Venue,Car_Model_Verna,Car_Model_i20,Car_Type_Compact SUV,Car_Type_Electric SUV,Car_Type_Hatchback,Car_Type_MPV,Car_Type_Premium Hatchback,Car_Type_Premium SUV,Car_Type_SUV,Car_Type_Sedan,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Region_Central,Region_East,Region_North,Region_South,Region_West,Season_Festive,Season_Monsoon,Season_Summer,Season_Winter
Unnamed: 0,1.0,1.0,0.16969946239295658,-0.02892811690812143,-0.102430406332866,0.002665729819691781,-0.14756096131692564,-0.09914190270195265,0.1532469505255768,0.07787387016190508,-0.09502195875602096,0.16556714150531557,0.16083994973027854,0.00024390110782768776,0.006742484791728067,0.021767723050765332,0.043606521773483856,0.01599654533548171,0.8164965810220476,-7.312888879864846e-18,-0.8164965810220439,0.2801517952294848,9.577839153144738e-05,-3.1926130510488585e-05,0.28002409070744305,-9.577839153145104e-05,3.192613051048141e-05,0.00015963065255240321,-0.28002409070744455,-0.2800879429684658,-0.2798963861854021,-0.2799602384464234,-0.00015963065255241753,-0.28021564749050737,-0.2801517952294861,0.28021564749050615,0.28008794296846373,0.2799602384464217,0.2798963861854008,-1.9622958640186597e-05,-0.2798963861854021,-0.0002943443795889101,0.00013736071047631333,9.577839153144738e-05,0.28021564749050615,9.811479319793588e-05,-0.00017660662775590525,0.00032166580478891786,-6.780883651693114e-16,0.0009649974143635009,-0.0006469332521843201,-0.0003216658047875615,0.0006469332521836054,-0.0009649974143606442,5.2653923329026096e-05,2.0683336356584748e-15,-5.2653923322175457e-05,-2.6326961659710642e-05,2.6326961665275632e-05,0.08554775770776431,0.03298408492138355,-0.0710017318875754,-0.03854979601938385
Index,1.0,1.0,0.16969946239295658,-0.02892811690812143,-0.102430406332866,0.002665729819691781,-0.14756096131692564,-0.09914190270195265,0.1532469505255768,0.07787387016190508,-0.09502195875602096,0.16556714150531557,0.16083994973027854,0.00024390110782768776,0.006742484791728067,0.021767723050765332,0.043606521773483856,0.01599654533548171,0.8164965810220476,-7.312888879864846e-18,-0.8164965810220439,0.2801517952294848,9.577839153144738e-05,-3.1926130510488585e-05,0.28002409070744305,-9.577839153145104e-05,3.192613051048141e-05,0.00015963065255240321,-0.28002409070744455,-0.2800879429684658,-0.2798963861854021,-0.2799602384464234,-0.00015963065255241753,-0.28021564749050737,-0.2801517952294861,0.28021564749050615,0.28008794296846373,0.2799602384464217,0.2798963861854008,-1.9622958640186597e-05,-0.2798963861854021,-0.0002943443795889101,0.00013736071047631333,9.577839153144738e-05,0.28021564749050615,9.811479319793588e-05,-0.00017660662775590525,0.00032166580478891786,-6.780883651693114e-16,0.0009649974143635009,-0.0006469332521843201,-0.0003216658047875615,0.0006469332521836054,-0.0009649974143606442,5.2653923329026096e-05,2.0683336356584748e-15,-5.2653923322175457e-05,-2.6326961659710642e-05,2.6326961665275632e-05,0.08554775770776431,0.03298408492138355,-0.0710017318875754,-0.03854979601938385
Price,0.16969946239295658,0.16969946239295658,1.0,-0.4511169664698933,-0.06403040497557617,0.13657451471076745,-0.09494489044421822,-0.06315600048015856,0.0996498998659429,0.14531116627670168,-0.14519096408933407,-0.00045810102908384334,-0.0003676978804652557,-0.0003482521143093762,-8.534607407067529e-05,0.012126000473428173,-0.007306602787336204,-0.00023003246791616528,0.2950320673847589,-0.2789368427696729,-0.016095224615086206,0.1968251712605328,-0.17784901108331488,-0.023693838141494887,-0.0018041126380550717,-0.1909062746551062,-0.08985741821635178,0.13024425250683921,0.1739916322637024,-0.11169490582077245,0.152244507999726,0.21822449882791692,-0.22198499695997692,-0.26601425168950454,-0.19987518056952475,0.7692779590475154,-0.1557556289895219,-0.023864648315101204,-0.17750775482750475,-0.17894789932798005,0.152244507999726,-0.4090447603463881,0.19987496155346343,-0.17784901108331488,0.7692779590475154,0.1858855445648885,-0.25485654570852045,0.0005246595616572334,0.0003496016350242441,-0.0003715850911849904,-7.855642319736945e-05,0.0001554897819356335,-0.0002466519249157759,-0.0003330549806916529,0.0006180683260471935,-0.0004033977098048294,-7.334834072267122e-05,-0.00025090540590106043,0.00010958313038380771,-0.0004922253262075077,-0.00014501706420371206,0.0002586766013103212,0.0003235760381933174
Units_Sold,-0.02892811690812143,-0.02892811690812143,-0.4511169664698933,1.0,0.02788599148189137,0.703137220235181,0.03763850143745452,0.027563149201551812,-0.039074363478074886,0.5165618356528615,-0.4306179226581964,0.06676547403480657,0.09322544080401796,-0.003932290940666515,0.040875751528348686,-0.0059766462292983585,0.35311668800971274,0.0005801603680014901,-0.09684696795334252,0.1163376345284857,-0.01949066657514298,-0.18467129499788965,0.05931990824983737,0.12285166030290448,0.21420553881448462,0.01919791664993901,-0.09508657517103192,-0.12575199237284398,-0.027052946107742337,0.16779408278334024,-0.03447182880646341,-0.18176218733924063,0.2588899589867352,0.16105969600430156,-0.1256782774276502,-0.31860871774361577,0.0666361165606078,-0.08322899970082369,0.10635794131515143,0.219598399253228,-0.03447182880646341,0.32348775215705666,-0.2836669792085912,0.05931990824983737,-0.31860871774361577,0.03773903763219074,-0.11660225885976466,0.0024964171541447438,-0.0044833804081660395,-0.0018262394154091581,-0.003247108723267688,0.0026345211979003228,0.0012956309032993683,0.0031558639630781676,-0.0020168828427579717,0.004058792038625047,-0.002543039302708955,-0.00033589587185423714,0.0008370259786957049,0.278581041848692,-0.266164540693068,0.048340325005392155,0.001521541897426776
Stock_Quantity,-0.102430406332866,-0.102430406332866,-0.06403040497557617,0.02788599148189137,1.0,-0.0026428637965722115,0.7378667886504084,0.03722661431853107,-0.05777604912379359,-0.38639253325925915,0.2729807358836451,-0.005190752090692293,-0.004807001404014216,-0.0022592221772223357,-0.003994223368782032,-0.007701664743824554,-0.0062049421579506,-0.0039384324654867875,-0.16708494370508623,0.14691532685977224,0.020169616845314296,-0.06017591710424522,0.05266902488733116,0.04347266521473552,-0.05374557231829763,0.044882840633458446,0.055143279342518975,0.052194766534168754,0.01300693071483016,0.009913128298910662,0.0011713400407826562,0.007639286879638157,0.05398667169418768,0.0048033833606233875,0.004974659727269878,-0.062301712744531966,-0.05744179505828383,-0.053140789561586965,-0.05705219054150972,-0.002492965770642202,0.0011713400407826562,0.0010681546094086043,0.0016021411618099102,0.05266902488733116,-0.062301712744531966,0.007041350207127019,-0.0020180287168976075,-0.0038077879423181827,0.0016556699143940334,0.0005520136071707046,-0.0034604373868318025,-0.006902623531322594,0.007428037875721694,0.004512664758677936,-0.0017223202879203166,-0.004498266956776669,0.0011460715041324771,0.004345010980589434,0.0007295047599736125,-0.006023029150758812,0.0011829156918048123,0.001984787381823999,0.00191525823927218
COGS,0.002665729819691781,0.002665729819691781,0.13657451471076745,0.703137220235181,-0.0026428637965722115,1.0,-0.0075456507476024375,-0.0027739637706760975,0.011270664757700338,0.7582911982770769,-0.5615599686261757,0.0661421166103762,0.09289502221499565,-0.005495386130795234,0.041955483165661944,-0.002225337396679529,0.3478582997410154,-0.0012949893480654927,0.01129390091239989,-0.04497446001082057,0.03368055909842018,-0.035991898369073246,-0.07229145157391566,0.18198694976031932,0.2873192174488019,-0.11809943308930382,-0.115246708312825,0.025273803009932587,0.19605171871176094,0.08858115425811078,0.1635107973727736,-0.012780388525500331,0.0058201650929432976,-0.12903732371041218,-0.23701193932047832,-0.05558997985304057,-0.05666237406874071,-0.06246233278662915,-0.05336997604472282,0.13147422579605456,0.1635107973727736,-0.1085368625736034,-0.10081202787700907,-0.07229145157391566,-0.05558997985304057,0.31263151905002956,-0.2566559559503251,0.004206496476234485,-0.006809879791560175,-0.0057167793500057405,-0.001385828013572419,0.005694978753263433,-0.00025249125307632566,0.004297250337478827,-0.003527013436550876,0.0045039729979604514,-0.0004358071434764444,-0.0006904287875646034,0.00014927636963145847,0.2803103206020563,-0.26805338327809564,0.05533176131529731,-0.004938641606810508
Avg_Inventory,-0.14756096131692564,-0.14756096131692564,-0.09494489044421822,0.03763850143745452,0.7378667886504084,-0.0075456507476024375,1.0,0.04796452478187125,-0.08142144498810136,-0.5237501047418957,0.37212286339396455,-0.005533851588679285,-0.0038966535175701342,0.0030257292401848507,-9.341251753597042e-05,-0.00953158634233834,-0.002393296812017342,-4.9057652989039584e-05,-0.24702172307218825,0.22534199050120807,0.021679732570979826,-0.08653556659552102,0.08201010922031894,0.07100282932762589,-0.08284443106813766,0.07712939675815314,0.07797075336016367,0.07636964330483281,0.011066020090247538,0.010226773914496121,0.004674945901897203,0.005276417385775966,0.07926725855874733,0.008564461497647311,0.004807902756228192,-0.08765831336542845,-0.0838644704267628,-0.08266363788526446,-0.08480009273501965,-0.0016194850098573642,0.004674945901897203,0.0018633481911574036,-0.0020211674485594152,0.08201010922031894,-0.08765831336542845,0.002821938036800274,-0.0004464339267592293,-0.00023716655336826896,-0.0037525299605754288,0.005795036379915274,-0.0018738467497832851,-0.004451912917321075,0.006206007235296783,-0.0016879028250803272,0.0013290751412877398,-0.0010171098801909047,-0.004164961830368814,0.003672037381143747,0.00018095918812605714,-0.0013703560907491808,-0.0006834592496753037,0.0017285835463216334,0.00019248154836833822
Reorder_Point,-0.09914190270195265,-0.09914190270195265,-0.06315600048015856,0.027563149201551812,0.03722661431853107,-0.0027739637706760975,0.04796452478187125,1.0,-0.048977660582636987,-0.023088105871962913,0.017458355232651063,-0.004765930606307404,-0.004266012937917555,-0.006352471929822404,0.003412041706991179,-0.00480180297525137,0.005746437458286666,0.001225294106304441,-0.1592133528622825,0.13761111624980238,0.021602236612481618,-0.054020752727572424,0.043813843968279524,0.03945765268812432,-0.05460195736051225,0.046343392116338256,0.049978480192415665,0.04896051904470311,0.008595800417689833,0.009480687314807423,0.009208851879831727,-0.00026557980781657085,0.054647452830806915,0.01026207201701808,0.007175204357921168,-0.05917880167156779,-0.05253532562264187,-0.05410833150787835,-0.05321320812994559,-0.002210837922210784,0.009208851879831727,0.007188980797804079,-0.0026477624127664127,0.043813843968279524,-0.05917880167156779,0.0018158581827487606,-0.00036247255736463895,0.007694340330458419,0.0036614282185639035,-0.002846164674781356,-0.005349229331659326,-6.057165174528944e-05,-0.0029691677660437597,-0.00011203240638782849,0.00466611790851327,-0.005208674611164938,-0.006371947445420402,0.002586425769780242,0.004328078378290368,0.0021546853076429276,-0.009044282446849645,0.0061594497362273655,0.0018264959910013344
Lead_Time_Days,0.1532469505255768,0.1532469505255768,0.0996498998659429,-0.039074363478074886,-0.05777604912379359,0.011270664757700338,-0.08142144498810136,-0.048977660582636987,1.0,0.04669920396551761,-0.03778918000675214,0.004585853963630299,0.004295321410128134,0.005012497885756023,0.0019131174650770123,0.012835010707525204,0.006901728025629756,-0.0006543991261147298,0.25228656805514754,-0.22088845293382126,-0.031398115121325884,0.08920517075093948,-0.07338286042354608,-0.08028215874148971,0.09334112806279868,-0.07268749807339106,-0.0779316891308096,-0.07287220369765136,-0.0028905021765968327,-0.014588525046389716,-0.012075079884892547,-0.012404652665434729,-0.07742827576272848,-0.015410646158291472,-0.007247381901785965,0.09303328535569849,0.07926366215106861,0.08145115621093085,0.08290707113156781,-0.009592641988433258,-0.012075079884892547,-0.006104475993102974,-0.0006952587827321464,-0.07338286042354608,0.09303328535569849,0.010804336323760454,0.000931958411004603,-0.00692349651085961,0.002946104236079285,0.0033000597673624736,0.003170813545697418,-0.009341052908357792,0.0030454494045417395,0.0037655224922249417,-0.00564990176249862,-0.0004255780932618036,0.006787680232107985,0.002260209581078103,-0.002972409957423392,0.005461847236306226,-0.0021093564077637517,-0.0010983785481536393,-0.0013095551817964286
Inventory_Turnover_Ratio,0.07787387016190508,0.07787387016190508,0.14531116627670168,0.5165618356528615,-0.38639253325925915,0.7582911982770769,-0.5237501047418957,-0.023088105871962913,0.04669920396551761,1.0,-0.5974224957228449,0.05187662387683726,0.07136954178729651,-0.002806618983518004,0.03316037596411883,0.0034944612387440943,0.26454192684159,-0.001980857315396087,0.12541696045152864,-0.12979844403057206,0.00438148357904218,0.01334506009210114,-0.08528322422697604,0.09511352431170782,0.2777503944618235,-0.11547207017936723,-0.11321778862378028,-0.015213638280293717,0.13496229152862466,0.059568491000376755,0.11583354922358673,-0.012420852991655462,-0.0330497970605962,-0.10635470710749,-0.1825717528378804,-0.0016169552733216097,-0.009683927049885445,-0.014946398507136109,-0.006742198479849933,0.08912108806372149,0.11583354922358673,-0.08982706815662707,-0.06901971114153489,-0.08528322422697604,-0.0016169552733216097,0.24431734280635586,-0.19237515080280235,0.002689758352422855,-0.002752569984798145,-0.004949716579950247,0.0013141761926590435,0.00639909314357956,-0.007117481829337293,0.004450917988767418,-0.0035245844047659828,0.006998844780714758,-0.0010623134074883268,-0.0015528003684266293,-0.000859146600032759,0.21280160486398886,-0.20279157787447263,0.04228125386194857,-0.004796347752685044
Days_Sales_Inventory,-0.09502195875602096,-0.09502195875602096,-0.14519096408933407,-0.4306179226581964,0.2729807358836451,-0.5615599686261757,0.37212286339396455,0.017458355232651063,-0.03778918000675214,-0.5974224957228449,1.0,-0.016347535431870612,-0.030941164765398647,0.0015112710978263807,-0.023521610360571373,-0.00010210871273702522,-0.20692598531571846,0.004179490254152467,-0.12406374155256347,0.08397065012313934,0.04009309142942516,-0.014618463892773317,0.04372558552204647,-0.07880379033969867,-0.1590010879452294,0.09224254534167357,0.10901044646913612,0.015412572142888667,-0.09275413431049634,-0.058118797555408955,-0.07852890671465652,0.0055854825476971326,-0.008777186860664194,0.05767592949284719,0.24865132798964354,-0.051727753273223646,-0.015649277486674724,0.0023555999534697588,-0.01668009108057622,-0.09377620638796492,-0.07852890671465652,0.01980275268893779,0.061449778962581005,0.04372558552204647,-0.051727753273223646,-0.14526477132464674,0.21097358525943333,-0.0033859783721901624,0.0008761591296429752,-0.0016736329887301548,0.003613987563413821,-0.00230449707737328,0.002940751063306216,-9.647276712235115e-05,0.0012829166527041267,-0.0042658946366003385,0.007776206459337318,-0.0044233077228218376,-0.00036992075262057126,-0.14911377359133263,0.1792742471885161,-0.05089400865636065,-0.01587030363681878
Month,0.16556714150531557,0.16556714150531557,-0.00045810102908384334,0.06676547403480657,-0.005190752090692293,0.0661421166103762,-0.005533851588679285,-0.004765930606307404,0.004585853963630299,0.05187662387683726,-0.016347535431870612,1.0,0.9714262484737947,0.008209954848040673,0.0379318160515073,-0.0006142521914456521,0.19796998743633312,0.009157081161824523,5.46163235822128e-15,-4.425448329884319e-15,-1.4582278410661394e-15,2.2100927895112698e-15,-1.405755770152359e-15,-1.6337586479937287e-15,1.9376752782523177e-15,-1.6262538745063889e-15,-1.300782911174108e-15,-1.6002028708073208e-15,-1.5012216572527326e-16,8.49476715553667e-17,9.206481943429349e-17,-2.273525638041198e-16,-1.57983917837654e-15,6.2180273216791695e-18,-1.2483039565589797e-18,1.990537587119296e-15,1.956178794898384e-15,1.7302795601660156e-15,1.7293815074479098e-15,-4.0444533390628105e-17,9.206481943429349e-17,6.611370512973867e-17,-6.702863290791073e-17,-1.405755770152359e-15,1.990537587119296e-15,8.380449661672355e-17,-2.550942036091314e-16,0.0033342769575716085,-0.005181828766720184,0.006739991614280948,0.003863942763959948,-0.0012066759180407404,-0.002920385884050022,-0.004612390574749536,4.686354766128846e-16,3.037329862854657e-16,4.2429180591935335e-16,3.9860872674884863e-16,2.771008561894234e-16,0.5153643725026205,0.20112529497117035,-0.42366729599496156,-0.23896865866586942
