Feature1,Feature2,Correlation
Index,Price,0.16969946239295658
Index,Stock_Quantity,-0.102430406332866
Index,Avg_Inventory,-0.14756096131692564
Index,Lead_Time_Days,0.1532469505255768
Index,Month,0.16556714150531557
Index,Quarter,0.16083994973027854
Index,Company_Hyundai India,0.8164965810220476
Index,Company_Tata Motors,-0.8164965810220439
Index,Car_Model_Alcazar,0.2801517952294848
Index,Car_Model_Creta,0.28002409070744305
Index,Car_Model_Harrier,-0.28002409070744455
Index,Car_Model_Nexon,-0.2800879429684658
Index,Car_Model_Nexon EV,-0.2798963861854021
Index,Car_Model_Safari,-0.2799602384464234
Index,Car_Model_Tiago,-0.28021564749050737
Index,Car_Model_Tigor,-0.2801517952294861
Index,Car_Model_Tucson,0.28021564749050615
Index,Car_Model_Venue,0.28008794296846373
Index,Car_Model_Verna,0.2799602384464217
Index,Car_Model_i20,0.2798963861854008
Index,Car_Type_Electric SUV,-0.2798963861854021
Index,Car_Type_Premium SUV,0.28021564749050615
Price,Units_Sold,-0.4511169664698933
Price,COGS,0.13657451471076745
Price,Inventory_Turnover_Ratio,0.14531116627670168
Price,Days_Sales_Inventory,-0.14519096408933407
Price,Company_Hyundai India,0.2950320673847589
Price,Company_Maruti Suzuki,-0.2789368427696729
Price,Car_Model_Alcazar,0.1968251712605328
Price,Car_Model_Baleno,-0.17784901108331488
Price,Car_Model_Dzire,-0.1909062746551062
Price,Car_Model_Grand Vitara,0.13024425250683921
Price,Car_Model_Harrier,0.1739916322637024
Price,Car_Model_Nexon,-0.11169490582077245
Price,Car_Model_Nexon EV,0.152244507999726
Price,Car_Model_Safari,0.21822449882791692
Price,Car_Model_Swift,-0.22198499695997692
Price,Car_Model_Tiago,-0.26601425168950454
Price,Car_Model_Tigor,-0.19987518056952475
Price,Car_Model_Tucson,0.7692779590475154
Price,Car_Model_Venue,-0.1557556289895219
Price,Car_Model_i20,-0.17750775482750475
Price,Car_Type_Compact SUV,-0.17894789932798005
Price,Car_Type_Electric SUV,0.152244507999726
Price,Car_Type_Hatchback,-0.4090447603463881
Price,Car_Type_MPV,0.19987496155346343
Price,Car_Type_Premium Hatchback,-0.17784901108331488
Price,Car_Type_Premium SUV,0.7692779590475154
Price,Car_Type_SUV,0.1858855445648885
Price,Car_Type_Sedan,-0.25485654570852045
Units_Sold,COGS,0.703137220235181
Units_Sold,Inventory_Turnover_Ratio,0.5165618356528615
Units_Sold,Days_Sales_Inventory,-0.4306179226581964
Units_Sold,Seasonality_Flag,0.35311668800971274
Units_Sold,Company_Maruti Suzuki,0.1163376345284857
Units_Sold,Car_Model_Alcazar,-0.18467129499788965
Units_Sold,Car_Model_Brezza,0.12285166030290448
Units_Sold,Car_Model_Creta,0.21420553881448462
Units_Sold,Car_Model_Grand Vitara,-0.12575199237284398
Units_Sold,Car_Model_Nexon,0.16779408278334024
Units_Sold,Car_Model_Safari,-0.18176218733924063
Units_Sold,Car_Model_Swift,0.2588899589867352
Units_Sold,Car_Model_Tiago,0.16105969600430156
Units_Sold,Car_Model_Tigor,-0.1256782774276502
Units_Sold,Car_Model_Tucson,-0.31860871774361577
Units_Sold,Car_Model_i20,0.10635794131515143
Units_Sold,Car_Type_Compact SUV,0.219598399253228
Units_Sold,Car_Type_Hatchback,0.32348775215705666
Units_Sold,Car_Type_MPV,-0.2836669792085912
Units_Sold,Car_Type_Premium SUV,-0.31860871774361577
Units_Sold,Car_Type_Sedan,-0.11660225885976466
Units_Sold,Season_Festive,0.278581041848692
Units_Sold,Season_Monsoon,-0.266164540693068
Stock_Quantity,Avg_Inventory,0.7378667886504084
Stock_Quantity,Inventory_Turnover_Ratio,-0.38639253325925915
Stock_Quantity,Days_Sales_Inventory,0.2729807358836451
Stock_Quantity,Company_Hyundai India,-0.16708494370508623
Stock_Quantity,Company_Maruti Suzuki,0.14691532685977224
COGS,Inventory_Turnover_Ratio,0.7582911982770769
COGS,Days_Sales_Inventory,-0.5615599686261757
COGS,Seasonality_Flag,0.3478582997410154
COGS,Car_Model_Brezza,0.18198694976031932
COGS,Car_Model_Creta,0.2873192174488019
COGS,Car_Model_Dzire,-0.11809943308930382
COGS,Car_Model_Ertiga,-0.115246708312825
COGS,Car_Model_Harrier,0.19605171871176094
COGS,Car_Model_Nexon EV,0.1635107973727736
COGS,Car_Model_Tiago,-0.12903732371041218
COGS,Car_Model_Tigor,-0.23701193932047832
COGS,Car_Type_Compact SUV,0.13147422579605456
COGS,Car_Type_Electric SUV,0.1635107973727736
COGS,Car_Type_Hatchback,-0.1085368625736034
COGS,Car_Type_MPV,-0.10081202787700907
COGS,Car_Type_SUV,0.31263151905002956
COGS,Car_Type_Sedan,-0.2566559559503251
COGS,Season_Festive,0.2803103206020563
COGS,Season_Monsoon,-0.26805338327809564
Avg_Inventory,Inventory_Turnover_Ratio,-0.5237501047418957
Avg_Inventory,Days_Sales_Inventory,0.37212286339396455
Avg_Inventory,Company_Hyundai India,-0.24702172307218825
Avg_Inventory,Company_Maruti Suzuki,0.22534199050120807
