Date,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Warranty_Years,Export_Units
2023-01-01,Hyundai India,i20,Hatchback,North,721143.45,12.0,215.0,6230679.41,186.5,30.0,12.0,33408.469,0.01,Winter,1,1,Sunday,1,0,0,1.08,5,43
2023-01-01,Hyundai India,i20,Hatchback,South,712807.04,10.0,136.0,5132210.69,117.0,34.0,17.0,43865.049,0.01,Winter,1,1,Sunday,1,0,0,1.08,5,35
2023-01-01,Hyundai India,i20,Hatchback,East,770598.86,6.0,93.0,3328987.08,71.0,54.0,16.0,46887.142,0.01,Winter,1,1,Sunday,1,0,0,1.08,7,14
2023-01-01,Hyundai India,i20,Hatchback,West,757385.0,11.0,191.0,5998489.2,159.5,38.0,10.0,37608.083,0.01,Winter,1,1,Sunday,1,0,1,1.08,5,7
2023-01-01,Hyundai India,i20,Hatchback,Central,742509.01,11.0,213.0,5880671.36,201.5,37.0,12.0,29184.473,0.01,Winter,1,1,Sunday,1,0,0,1.08,7,46
2023-01-01,Hyundai India,Verna,Sedan,North,1126356.83,3.0,146.0,2432930.75,108.5,33.0,7.0,22423.325,0.02,Winter,1,1,Sunday,1,0,1,1.0,3,27
2023-01-01,Hyundai India,Verna,Sedan,South,1113157.73,3.0,63.0,2404420.7,124.5,18.0,15.0,19312.616,0.02,Winter,1,1,Sunday,1,0,0,1.0,7,27
2023-01-01,Hyundai India,Verna,Sedan,East,1056928.26,13.0,58.0,9892848.51,120.5,34.0,15.0,82098.328,0.0,Winter,1,1,Sunday,1,0,0,1.0,7,25
2023-01-01,Hyundai India,Verna,Sedan,West,1067495.08,12.0,236.0,9223157.49,200.5,39.0,16.0,46000.785,0.01,Winter,1,1,Sunday,1,0,0,1.0,7,22
2023-01-01,Hyundai India,Verna,Sedan,Central,1066762.56,8.0,110.0,6144552.35,98.5,54.0,6.0,62381.242,0.01,Winter,1,1,Sunday,1,0,1,1.0,3,37
2023-01-01,Hyundai India,Creta,SUV,North,1130480.52,18.0,117.0,14651027.54,155.5,34.0,7.0,94218.827,0.0,Winter,1,1,Sunday,1,0,0,1.0,3,42
2023-01-01,Hyundai India,Creta,SUV,South,1098625.28,14.0,95.0,11074142.82,110.5,25.0,14.0,100218.487,0.0,Winter,1,1,Sunday,1,0,0,1.0,3,21
2023-01-01,Hyundai India,Creta,SUV,East,1174730.72,14.0,183.0,11841285.66,126.0,18.0,7.0,93978.458,0.0,Winter,1,1,Sunday,1,0,1,1.0,3,44
2023-01-01,Hyundai India,Creta,SUV,West,1205479.12,11.0,103.0,9547394.63,147.5,36.0,17.0,64728.099,0.01,Winter,1,1,Sunday,1,0,0,1.0,3,26
2023-01-01,Hyundai India,Creta,SUV,Central,1110683.39,14.0,94.0,11195688.57,92.0,48.0,16.0,121692.267,0.0,Winter,1,1,Sunday,1,0,0,1.0,3,28
2023-01-01,Hyundai India,Venue,Compact SUV,North,787859.41,5.0,202.0,2836293.88,173.0,18.0,14.0,16394.762,0.02,Winter,1,1,Sunday,1,0,0,1.0,7,31
2023-01-01,Hyundai India,Venue,Compact SUV,South,765834.37,10.0,134.0,5514007.46,91.0,37.0,9.0,60593.489,0.01,Winter,1,1,Sunday,1,0,0,1.0,5,1
2023-01-01,Hyundai India,Venue,Compact SUV,East,832024.92,9.0,107.0,5391521.48,77.0,22.0,7.0,70019.759,0.01,Winter,1,1,Sunday,1,0,0,1.0,7,30
