Date,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Dealer_Network_Size,Service_Type
2023-01-01,Maruti Suzuki,Swift,Hatchback,North,656412.8,15.0,121.0,7384644.0,131.5,38.0,9.0,56156.989,0.01,Winter,1,1,Sunday,1,0,0,1.08,137,Arena
2023-01-01,Maruti Suzuki,Swift,Hatchback,South,664429.92,13.0,51.0,6478191.72,124.0,57.0,4.0,52243.482,0.01,Winter,1,1,Sunday,1,0,0,1.08,70,Nexa
2023-01-01,Maruti Suzuki,Swift,Hatchback,East,651610.35,15.0,98.0,7330616.44,153.5,47.0,14.0,47756.459,0.01,Winter,1,1,Sunday,1,0,0,1.08,100,Arena
2023-01-01,Maruti Suzuki,Swift,Hatchback,West,618362.22,19.0,216.0,8811661.63,172.0,33.0,4.0,51230.591,0.01,Winter,1,1,Sunday,1,0,0,1.08,139,Arena
2023-01-01,Maruti Suzuki,Swift,Hatchback,Central,619735.25,19.0,57.0,8831227.31,151.0,36.0,6.0,58484.949,0.01,Winter,1,1,Sunday,1,0,0,1.08,181,Arena
2023-01-01,Maruti Suzuki,Dzire,Sedan,North,744644.5,12.0,240.0,6701800.5,161.5,53.0,12.0,41497.217,0.01,Winter,1,1,Sunday,1,0,1,1.0,63,Nexa
2023-01-01,Maruti Suzuki,Dzire,Sedan,South,753204.39,9.0,298.0,5084129.63,275.0,35.0,4.0,18487.744,0.02,Winter,1,1,Sunday,1,0,0,1.0,73,Arena
2023-01-01,Maruti Suzuki,Dzire,Sedan,East,741758.18,6.0,206.0,3337911.81,155.0,44.0,9.0,21534.915,0.02,Winter,1,1,Sunday,1,0,0,1.0,178,Arena
2023-01-01,Maruti Suzuki,Dzire,Sedan,West,689331.21,10.0,172.0,5169984.07,221.0,47.0,9.0,23393.593,0.02,Winter,1,1,Sunday,1,0,1,1.0,61,Arena
2023-01-01,Maruti Suzuki,Dzire,Sedan,Central,726573.44,6.0,148.0,3269580.48,200.5,46.0,5.0,16307.135,0.02,Winter,1,1,Sunday,1,0,0,1.0,150,Nexa
2023-01-01,Maruti Suzuki,Brezza,Compact SUV,North,1123172.92,16.0,186.0,13478075.04,157.5,32.0,,85575.08,0.0,Winter,1,1,Sunday,1,0,0,1.0,101,Arena
2023-01-01,Maruti Suzuki,Brezza,Compact SUV,South,1128110.63,16.0,192.0,13537327.56,133.5,32.0,,101403.203,0.0,Winter,1,1,Sunday,1,0,0,1.0,135,Nexa
2023-01-01,Maruti Suzuki,Brezza,Compact SUV,East,1095218.8,15.0,183.0,,165.0,39.0,13.0,74674.009,0.0,Winter,1,1,Sunday,1,0,0,1.0,141,Arena
2023-01-01,Maruti Suzuki,Brezza,Compact SUV,West,1045057.24,17.0,239.0,13324479.81,241.5,22.0,9.0,55173.829,0.01,Winter,1,1,Sunday,1,0,0,1.0,186,Arena
2023-01-01,Maruti Suzuki,Brezza,Compact SUV,Central,1069064.06,14.0,167.0,11225172.63,211.0,31.0,9.0,53199.87,0.01,Winter,1,1,Sunday,1,0,0,1.0,162,Arena
2023-01-01,Maruti Suzuki,Ertiga,MPV,North,955024.84,7.0,209.0,5013880.41,158.0,30.0,10.0,31733.42,0.01,Winter,1,1,Sunday,1,0,0,1.0,87,Arena
2023-01-01,Maruti Suzuki,Ertiga,MPV,South,923422.9,8.0,236.0,5540537.4,182.5,22.0,5.0,30359.109,0.01,Winter,1,1,Sunday,1,0,0,1.0,101,Nexa
2023-01-01,Maruti Suzuki,Ertiga,MPV,East,952816.8,7.0,293.0,5002288.2,167.0,20.0,14.0,29953.822,0.01,Winter,1,1,Sunday,1,0,0,1.0,58,Arena
2023-01-01,Maruti Suzuki,Ertiga,MPV,West,919212.9,18.0,218.0,12409374.15,162.5,52.0,7.0,76365.379,0.0,Winter,1,1,Sunday,1,0,0,1.0,177,Nexa
